timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2025/06/21 03:48:59.247, 0, 0, 4, 34
2025/06/21 03:49:00.249, 0, 0, 4, 34
2025/06/21 03:49:01.250, 0, 0, 4, 34
2025/06/21 03:49:02.250, 0, 0, 4, 34
2025/06/21 03:49:03.251, 0, 0, 4, 34
2025/06/21 03:49:04.251, 0, 0, 270, 34
2025/06/21 03:49:05.251, 5, 0, 472, 36
2025/06/21 03:49:06.251, 24, 5, 866, 43
2025/06/21 03:49:07.251, 88, 17, 866, 44
2025/06/21 03:49:08.251, 0, 0, 7034, 38
2025/06/21 03:49:09.251, 61, 15, 2234, 39
2025/06/21 03:49:10.252, 22, 17, 1116, 40
2025/06/21 03:49:11.252, 0, 0, 956, 38
2025/06/21 03:49:12.252, 0, 0, 1252, 39
2025/06/21 03:49:13.252, 0, 0, 1570, 38
2025/06/21 03:49:14.252, 0, 0, 1934, 38
2025/06/21 03:49:15.252, 28, 12, 2302, 38
2025/06/21 03:49:16.252, 5, 1, 2302, 38
2025/06/21 03:49:17.253, 0, 0, 2302, 38
2025/06/21 03:49:18.253, 0, 0, 2302, 39
2025/06/21 03:49:19.253, 31, 13, 2302, 39
2025/06/21 03:49:20.253, 26, 11, 2302, 38
2025/06/21 03:49:21.253, 0, 0, 2678, 38
2025/06/21 03:49:22.253, 23, 9, 2678, 39
2025/06/21 03:49:23.254, 21, 10, 2678, 40
2025/06/21 03:49:24.254, 0, 0, 2678, 38
2025/06/21 03:49:25.254, 0, 0, 2678, 38
2025/06/21 03:49:26.254, 0, 0, 2678, 40
2025/06/21 03:49:27.254, 0, 0, 2678, 38
2025/06/21 03:49:28.254, 0, 0, 2678, 38
2025/06/21 03:49:29.255, 0, 0, 2678, 39
2025/06/21 03:49:30.255, 0, 0, 2678, 38
2025/06/21 03:49:31.255, 0, 0, 2678, 38
2025/06/21 03:49:32.255, 0, 0, 2678, 38
2025/06/21 03:49:33.255, 0, 0, 2678, 38
2025/06/21 03:49:34.255, 0, 0, 2678, 38
2025/06/21 03:49:35.256, 0, 0, 2678, 38
2025/06/21 03:49:36.256, 0, 0, 2678, 38
2025/06/21 03:49:37.256, 23, 8, 2678, 38
2025/06/21 03:49:38.256, 0, 0, 2678, 38
2025/06/21 03:49:39.256, 6, 4, 2678, 40
2025/06/21 03:49:40.256, 9, 5, 2678, 39
2025/06/21 03:49:41.257, 0, 0, 2678, 38
2025/06/21 03:49:42.257, 0, 0, 2678, 38
2025/06/21 03:49:43.257, 0, 0, 2678, 38
2025/06/21 03:49:44.257, 0, 0, 2678, 38
2025/06/21 03:49:45.257, 0, 0, 2678, 38
2025/06/21 03:49:46.257, 19, 1, 2678, 38
2025/06/21 03:49:47.257, 94, 4, 2678, 40
2025/06/21 03:49:48.258, 94, 3, 2678, 40
2025/06/21 03:49:49.258, 94, 4, 2678, 41
2025/06/21 03:49:50.258, 94, 3, 2678, 41
2025/06/21 03:49:51.258, 95, 3, 2678, 41
2025/06/21 03:49:52.258, 94, 4, 2678, 41
2025/06/21 03:49:53.258, 6, 0, 2688, 39
2025/06/21 03:49:54.259, 84, 49, 2688, 49
2025/06/21 03:49:55.259, 84, 51, 2688, 49
2025/06/21 03:49:56.259, 85, 50, 2688, 50
2025/06/21 03:49:57.260, 85, 51, 2688, 51
2025/06/21 03:49:58.260, 84, 51, 2688, 51
2025/06/21 03:49:59.260, 83, 49, 2688, 52
2025/06/21 03:50:00.260, 86, 51, 2688, 52
2025/06/21 03:50:01.260, 85, 52, 2688, 52
2025/06/21 03:50:02.261, 84, 49, 2688, 52
2025/06/21 03:50:03.261, 85, 51, 2688, 53
2025/06/21 03:50:04.261, 83, 50, 2688, 53
2025/06/21 03:50:05.261, 85, 50, 2688, 53
2025/06/21 03:50:06.261, 84, 51, 2688, 54
2025/06/21 03:50:07.261, 84, 50, 2688, 54
2025/06/21 03:50:08.262, 85, 50, 2688, 54
2025/06/21 03:50:09.262, 86, 52, 2688, 54
2025/06/21 03:50:10.262, 83, 49, 2688, 55
2025/06/21 03:50:11.262, 85, 50, 2688, 55
2025/06/21 03:50:12.262, 83, 50, 2688, 55
2025/06/21 03:50:13.262, 85, 50, 2688, 55
2025/06/21 03:50:14.263, 83, 49, 2688, 55
2025/06/21 03:50:15.263, 85, 52, 2688, 56
2025/06/21 03:50:16.263, 84, 49, 2688, 56
2025/06/21 03:50:17.263, 83, 50, 2688, 56
2025/06/21 03:50:18.263, 84, 50, 2688, 57
2025/06/21 03:50:19.263, 84, 49, 2688, 57
2025/06/21 03:50:20.264, 0, 0, 2688, 49
2025/06/21 03:50:21.264, 0, 0, 2688, 48
2025/06/21 03:50:22.264, 0, 0, 2688, 47
2025/06/21 03:50:23.264, 0, 0, 2688, 47
2025/06/21 03:50:24.264, 0, 0, 2688, 46
