timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2025/06/21 03:50:25.032, 0, 0, 4, 46
2025/06/21 03:50:26.033, 51, 3, 4, 46
2025/06/21 03:50:27.037, 0, 0, 4, 46
2025/06/21 03:50:28.037, 0, 0, 4, 45
2025/06/21 03:50:29.037, 0, 0, 4, 43
2025/06/21 03:50:30.037, 0, 0, 270, 42
2025/06/21 03:50:31.037, 0, 0, 408, 44
2025/06/21 03:50:32.038, 0, 0, 802, 48
2025/06/21 03:50:33.038, 88, 17, 802, 52
2025/06/21 03:50:34.038, 0, 0, 7578, 46
2025/06/21 03:50:35.038, 100, 48, 2618, 47
2025/06/21 03:50:36.038, 21, 17, 954, 48
2025/06/21 03:50:37.038, 0, 0, 826, 46
2025/06/21 03:50:38.038, 0, 0, 1442, 46
2025/06/21 03:50:39.038, 16, 7, 1806, 46
2025/06/21 03:50:40.039, 36, 14, 1806, 45
2025/06/21 03:50:41.039, 0, 0, 2174, 47
2025/06/21 03:50:42.039, 0, 0, 2174, 46
2025/06/21 03:50:43.039, 0, 0, 2174, 45
2025/06/21 03:50:44.039, 0, 0, 2174, 45
2025/06/21 03:50:45.039, 0, 0, 2174, 45
2025/06/21 03:50:46.039, 0, 0, 2550, 45
2025/06/21 03:50:47.039, 12, 7, 2550, 46
2025/06/21 03:50:48.039, 0, 0, 2550, 44
2025/06/21 03:50:49.039, 21, 7, 2550, 44
2025/06/21 03:50:50.040, 0, 0, 2550, 45
2025/06/21 03:50:51.040, 0, 0, 2550, 44
2025/06/21 03:50:52.040, 0, 0, 2550, 44
2025/06/21 03:50:53.040, 0, 0, 2550, 44
2025/06/21 03:50:54.040, 0, 0, 2550, 46
2025/06/21 03:50:55.040, 0, 0, 2550, 44
2025/06/21 03:50:56.040, 0, 0, 2550, 46
2025/06/21 03:50:57.040, 0, 0, 2550, 45
2025/06/21 03:50:58.041, 0, 0, 2550, 44
2025/06/21 03:50:59.041, 0, 0, 2550, 44
2025/06/21 03:51:00.041, 0, 0, 2550, 44
2025/06/21 03:51:01.041, 0, 0, 2550, 46
2025/06/21 03:51:02.041, 36, 14, 2550, 44
2025/06/21 03:51:03.041, 0, 0, 2550, 43
2025/06/21 03:51:04.041, 0, 0, 2550, 43
2025/06/21 03:51:05.041, 0, 0, 2550, 44
2025/06/21 03:51:06.041, 0, 0, 2550, 43
2025/06/21 03:51:07.042, 0, 0, 2550, 44
2025/06/21 03:51:08.042, 0, 0, 2550, 43
2025/06/21 03:51:09.042, 0, 0, 2550, 45
2025/06/21 03:51:10.042, 0, 0, 2550, 44
2025/06/21 03:51:11.042, 0, 0, 2550, 45
2025/06/21 03:51:12.042, 26, 11, 2550, 43
2025/06/21 03:51:13.042, 95, 3, 2550, 45
2025/06/21 03:51:14.042, 95, 3, 2550, 46
2025/06/21 03:51:15.042, 95, 3, 2550, 46
2025/06/21 03:51:16.043, 95, 3, 2550, 46
2025/06/21 03:51:17.043, 95, 3, 2550, 46
2025/06/21 03:51:18.043, 95, 3, 2550, 46
2025/06/21 03:51:19.043, 94, 3, 2560, 45
2025/06/21 03:51:20.043, 82, 49, 2560, 53
2025/06/21 03:51:21.043, 86, 50, 2560, 54
2025/06/21 03:51:22.043, 86, 52, 2560, 54
2025/06/21 03:51:23.043, 83, 50, 2560, 55
2025/06/21 03:51:24.043, 85, 50, 2560, 55
2025/06/21 03:51:25.044, 85, 50, 2560, 55
2025/06/21 03:51:26.044, 84, 51, 2560, 56
2025/06/21 03:51:27.044, 85, 50, 2560, 56
2025/06/21 03:51:28.044, 86, 52, 2560, 56
2025/06/21 03:51:29.044, 84, 49, 2560, 56
2025/06/21 03:51:30.044, 85, 52, 2560, 56
2025/06/21 03:51:31.044, 85, 50, 2560, 57
2025/06/21 03:51:32.044, 85, 52, 2560, 57
2025/06/21 03:51:33.045, 85, 50, 2560, 58
2025/06/21 03:51:34.045, 85, 51, 2560, 58
2025/06/21 03:51:35.045, 85, 50, 2560, 58
2025/06/21 03:51:36.045, 85, 51, 2560, 58
2025/06/21 03:51:37.045, 85, 50, 2560, 58
2025/06/21 03:51:38.045, 85, 51, 2560, 59
2025/06/21 03:51:39.045, 85, 50, 2560, 59
2025/06/21 03:51:40.045, 84, 50, 2560, 59
2025/06/21 03:51:41.045, 85, 50, 2560, 59
2025/06/21 03:51:42.045, 84, 49, 2560, 59
2025/06/21 03:51:43.046, 84, 50, 2560, 60
2025/06/21 03:51:44.046, 86, 51, 2560, 60
2025/06/21 03:51:45.046, 84, 49, 2560, 60
2025/06/21 03:51:46.046, 85, 51, 2560, 54
2025/06/21 03:51:47.046, 0, 0, 2560, 53
2025/06/21 03:51:48.046, 0, 0, 2560, 51
2025/06/21 03:51:49.046, 0, 0, 2560, 51
2025/06/21 03:51:50.046, 0, 0, 2480, 50
