timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2025/06/21 03:51:50.682, 2, 0, 4, 50
2025/06/21 03:51:51.683, 0, 0, 4, 50
2025/06/21 03:51:52.683, 0, 0, 4, 50
2025/06/21 03:51:53.683, 0, 0, 4, 47
2025/06/21 03:51:54.684, 0, 0, 4, 47
2025/06/21 03:51:55.684, 0, 0, 504, 48
2025/06/21 03:51:56.684, 0, 0, 898, 48
2025/06/21 03:51:57.684, 88, 17, 898, 55
2025/06/21 03:51:58.684, 88, 17, 898, 51
2025/06/21 03:51:59.684, 2, 0, 9050, 56
2025/06/21 03:52:00.684, 33, 21, 3260, 52
2025/06/21 03:52:01.685, 47, 41, 1148, 51
2025/06/21 03:52:02.685, 0, 0, 988, 50
2025/06/21 03:52:03.685, 1, 1, 1290, 49
2025/06/21 03:52:04.685, 0, 0, 1602, 50
2025/06/21 03:52:05.685, 0, 0, 1966, 49
2025/06/21 03:52:06.685, 14, 5, 2334, 49
2025/06/21 03:52:07.685, 27, 10, 2334, 48
2025/06/21 03:52:08.685, 29, 12, 2334, 49
2025/06/21 03:52:09.686, 36, 14, 2334, 49
2025/06/21 03:52:10.686, 0, 0, 2334, 49
2025/06/21 03:52:11.686, 0, 0, 2334, 49
2025/06/21 03:52:12.686, 0, 0, 2710, 48
2025/06/21 03:52:13.686, 19, 9, 2710, 48
2025/06/21 03:52:14.686, 0, 0, 2710, 48
2025/06/21 03:52:15.686, 0, 0, 2710, 47
2025/06/21 03:52:16.686, 0, 0, 2710, 48
2025/06/21 03:52:17.687, 36, 14, 2710, 48
2025/06/21 03:52:18.687, 0, 0, 2710, 48
2025/06/21 03:52:19.687, 0, 0, 2710, 47
2025/06/21 03:52:20.687, 35, 14, 2710, 48
2025/06/21 03:52:21.687, 0, 0, 2710, 47
2025/06/21 03:52:22.687, 0, 0, 2710, 47
2025/06/21 03:52:23.688, 0, 0, 2710, 48
2025/06/21 03:52:24.688, 0, 0, 2710, 48
2025/06/21 03:52:25.688, 0, 0, 2710, 47
2025/06/21 03:52:26.688, 0, 0, 2710, 47
2025/06/21 03:52:27.688, 2, 2, 2710, 47
2025/06/21 03:52:28.688, 0, 0, 2710, 47
2025/06/21 03:52:29.688, 36, 14, 2710, 49
2025/06/21 03:52:30.689, 0, 0, 2710, 47
2025/06/21 03:52:31.689, 0, 0, 2710, 46
2025/06/21 03:52:32.689, 0, 0, 2710, 47
2025/06/21 03:52:33.689, 0, 0, 2710, 47
2025/06/21 03:52:34.689, 0, 0, 2710, 46
2025/06/21 03:52:35.689, 0, 0, 2710, 48
2025/06/21 03:52:36.690, 0, 0, 2710, 46
2025/06/21 03:52:37.690, 2, 0, 2710, 47
2025/06/21 03:52:38.690, 95, 4, 2710, 48
2025/06/21 03:52:39.690, 95, 3, 2710, 49
2025/06/21 03:52:40.690, 95, 3, 2710, 49
2025/06/21 03:52:41.690, 94, 3, 2710, 49
2025/06/21 03:52:42.691, 94, 4, 2710, 49
2025/06/21 03:52:43.691, 94, 4, 2710, 49
2025/06/21 03:52:44.691, 89, 3, 2720, 53
2025/06/21 03:52:45.691, 85, 50, 2720, 56
2025/06/21 03:52:46.691, 85, 51, 2720, 56
2025/06/21 03:52:47.691, 85, 50, 2720, 57
2025/06/21 03:52:48.691, 85, 51, 2720, 57
2025/06/21 03:52:49.692, 85, 50, 2720, 58
2025/06/21 03:52:50.692, 85, 51, 2720, 57
2025/06/21 03:52:51.692, 85, 50, 2720, 58
2025/06/21 03:52:52.692, 84, 50, 2720, 58
2025/06/21 03:52:53.692, 85, 50, 2720, 58
2025/06/21 03:52:54.693, 84, 49, 2720, 59
2025/06/21 03:52:55.693, 85, 51, 2720, 59
2025/06/21 03:52:56.693, 85, 50, 2720, 59
2025/06/21 03:52:57.693, 83, 49, 2720, 59
2025/06/21 03:52:58.693, 85, 52, 2720, 59
2025/06/21 03:52:59.693, 85, 49, 2720, 60
2025/06/21 03:53:00.694, 84, 50, 2720, 60
2025/06/21 03:53:01.694, 86, 51, 2720, 60
2025/06/21 03:53:02.694, 83, 49, 2720, 60
2025/06/21 03:53:03.694, 85, 52, 2720, 61
2025/06/21 03:53:04.694, 85, 51, 2720, 61
2025/06/21 03:53:05.694, 86, 50, 2720, 61
2025/06/21 03:53:06.695, 86, 50, 2720, 61
2025/06/21 03:53:07.695, 84, 49, 2720, 61
2025/06/21 03:53:08.695, 84, 49, 2720, 61
2025/06/21 03:53:09.695, 83, 50, 2720, 62
2025/06/21 03:53:10.695, 86, 52, 2720, 62
2025/06/21 03:53:11.695, 0, 0, 2720, 55
2025/06/21 03:53:12.695, 0, 0, 2720, 55
2025/06/21 03:53:13.696, 0, 0, 2720, 54
2025/06/21 03:53:14.696, 0, 0, 2720, 53
2025/06/21 03:53:15.696, 0, 0, 2480, 52
