timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2025/06/21 03:53:16.245, 0, 0, 4, 52
2025/06/21 03:53:17.246, 0, 0, 4, 52
2025/06/21 03:53:18.247, 0, 0, 4, 52
2025/06/21 03:53:19.247, 0, 0, 4, 50
2025/06/21 03:53:20.247, 0, 0, 4, 49
2025/06/21 03:53:21.247, 0, 0, 270, 49
2025/06/21 03:53:22.247, 0, 0, 440, 50
2025/06/21 03:53:23.248, 89, 18, 834, 56
2025/06/21 03:53:24.248, 89, 18, 834, 58
2025/06/21 03:53:25.248, 17, 12, 9818, 53
2025/06/21 03:53:26.248, 45, 42, 3770, 55
2025/06/21 03:53:27.248, 58, 53, 3770, 56
2025/06/21 03:53:28.248, 0, 0, 858, 52
2025/06/21 03:53:29.248, 5, 2, 1156, 52
2025/06/21 03:53:30.249, 0, 0, 1474, 51
2025/06/21 03:53:31.249, 36, 14, 1838, 52
2025/06/21 03:53:32.249, 0, 0, 1838, 51
2025/06/21 03:53:33.249, 0, 0, 2206, 51
2025/06/21 03:53:34.249, 14, 5, 2206, 51
2025/06/21 03:53:35.249, 17, 6, 2206, 51
2025/06/21 03:53:36.249, 0, 0, 2206, 50
2025/06/21 03:53:37.249, 0, 0, 2206, 50
2025/06/21 03:53:38.250, 0, 0, 2582, 50
2025/06/21 03:53:39.250, 29, 12, 2582, 52
2025/06/21 03:53:40.250, 0, 0, 2582, 50
2025/06/21 03:53:41.250, 0, 0, 2582, 50
2025/06/21 03:53:42.250, 0, 0, 2582, 49
2025/06/21 03:53:43.250, 36, 14, 2582, 51
2025/06/21 03:53:44.250, 0, 0, 2582, 49
2025/06/21 03:53:45.251, 0, 0, 2582, 50
2025/06/21 03:53:46.251, 13, 7, 2582, 52
2025/06/21 03:53:47.251, 28, 12, 2582, 50
2025/06/21 03:53:48.251, 22, 9, 2582, 50
2025/06/21 03:53:49.251, 12, 4, 2582, 49
2025/06/21 03:53:50.251, 0, 0, 2582, 49
2025/06/21 03:53:51.251, 30, 12, 2582, 50
2025/06/21 03:53:52.251, 29, 12, 2582, 49
2025/06/21 03:53:53.252, 0, 0, 2582, 49
2025/06/21 03:53:54.252, 0, 0, 2582, 48
2025/06/21 03:53:55.252, 0, 0, 2582, 48
2025/06/21 03:53:56.252, 0, 0, 2582, 48
2025/06/21 03:53:57.252, 0, 0, 2582, 49
2025/06/21 03:53:58.252, 0, 0, 2582, 48
2025/06/21 03:53:59.252, 34, 14, 2582, 50
2025/06/21 03:54:00.252, 28, 11, 2582, 50
2025/06/21 03:54:01.253, 26, 11, 2582, 49
2025/06/21 03:54:02.253, 0, 0, 2582, 48
2025/06/21 03:54:03.253, 0, 0, 2582, 48
2025/06/21 03:54:04.253, 95, 4, 2582, 50
2025/06/21 03:54:05.253, 94, 4, 2582, 50
2025/06/21 03:54:06.253, 94, 3, 2582, 50
2025/06/21 03:54:07.253, 94, 4, 2582, 50
2025/06/21 03:54:08.253, 94, 4, 2582, 50
2025/06/21 03:54:09.254, 94, 4, 2582, 50
2025/06/21 03:54:10.254, 94, 4, 2582, 50
2025/06/21 03:54:11.254, 85, 50, 2592, 56
2025/06/21 03:54:12.254, 85, 51, 2592, 57
2025/06/21 03:54:13.254, 86, 51, 2592, 58
2025/06/21 03:54:14.254, 83, 49, 2592, 58
2025/06/21 03:54:15.254, 84, 51, 2592, 59
2025/06/21 03:54:16.254, 85, 50, 2592, 59
2025/06/21 03:54:17.254, 84, 49, 2592, 59
2025/06/21 03:54:18.255, 83, 50, 2592, 59
2025/06/21 03:54:19.255, 85, 52, 2592, 60
2025/06/21 03:54:20.255, 85, 50, 2592, 60
2025/06/21 03:54:21.255, 83, 49, 2592, 60
2025/06/21 03:54:22.255, 84, 50, 2592, 60
2025/06/21 03:54:23.255, 85, 51, 2592, 61
2025/06/21 03:54:24.255, 86, 50, 2592, 61
2025/06/21 03:54:25.255, 83, 49, 2592, 61
2025/06/21 03:54:26.256, 85, 52, 2592, 61
2025/06/21 03:54:27.256, 86, 51, 2592, 61
2025/06/21 03:54:28.256, 84, 49, 2592, 61
2025/06/21 03:54:29.256, 85, 49, 2592, 62
2025/06/21 03:54:30.256, 84, 49, 2592, 62
2025/06/21 03:54:31.256, 83, 49, 2592, 62
2025/06/21 03:54:32.256, 84, 49, 2592, 62
2025/06/21 03:54:33.256, 83, 49, 2592, 62
2025/06/21 03:54:34.256, 85, 51, 2592, 63
2025/06/21 03:54:35.257, 85, 51, 2592, 63
2025/06/21 03:54:36.257, 85, 51, 2592, 63
2025/06/21 03:54:37.257, 85, 51, 2592, 63
2025/06/21 03:54:38.257, 0, 0, 2592, 56
2025/06/21 03:54:39.257, 0, 0, 2592, 56
2025/06/21 03:54:40.257, 0, 0, 2592, 55
2025/06/21 03:54:41.257, 0, 0, 2592, 54
2025/06/21 03:54:42.257, 0, 0, 2472, 54
