timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2025/06/21 03:54:42.621, 0, 0, 4, 54
2025/06/21 03:54:43.622, 0, 0, 4, 54
2025/06/21 03:54:44.622, 0, 0, 4, 53
2025/06/21 03:54:45.622, 0, 0, 4, 52
2025/06/21 03:54:46.622, 0, 0, 4, 51
2025/06/21 03:54:47.622, 0, 0, 270, 50
2025/06/21 03:54:48.622, 6, 0, 856, 52
2025/06/21 03:54:49.622, 13, 3, 1250, 53
2025/06/21 03:54:50.622, 88, 17, 1250, 58
2025/06/21 03:54:51.623, 0, 0, 3514, 54
2025/06/21 03:54:52.623, 100, 37, 13402, 59
2025/06/21 03:54:53.623, 100, 39, 7290, 60
2025/06/21 03:54:54.623, 68, 57, 7484, 59
2025/06/21 03:54:55.623, 99, 92, 1628, 60
2025/06/21 03:54:56.623, 0, 0, 1372, 54
2025/06/21 03:54:57.623, 0, 0, 1668, 54
2025/06/21 03:54:58.624, 0, 0, 1986, 53
2025/06/21 03:54:59.624, 0, 0, 2350, 53
2025/06/21 03:55:00.624, 28, 11, 2718, 53
2025/06/21 03:55:01.624, 5, 1, 2718, 53
2025/06/21 03:55:02.624, 0, 0, 2718, 52
2025/06/21 03:55:03.624, 0, 0, 2718, 52
2025/06/21 03:55:04.624, 31, 12, 2718, 53
2025/06/21 03:55:05.624, 26, 11, 2718, 53
2025/06/21 03:55:06.624, 0, 0, 3094, 52
2025/06/21 03:55:07.625, 0, 0, 3094, 51
2025/06/21 03:55:08.625, 0, 0, 3094, 51
2025/06/21 03:55:09.625, 7, 2, 3094, 52
2025/06/21 03:55:10.625, 0, 0, 3094, 51
2025/06/21 03:55:11.625, 7, 5, 3094, 52
2025/06/21 03:55:12.625, 0, 0, 3094, 51
2025/06/21 03:55:13.625, 0, 0, 3094, 51
2025/06/21 03:55:14.625, 35, 14, 3094, 53
2025/06/21 03:55:15.625, 0, 0, 3094, 51
2025/06/21 03:55:16.626, 2, 1, 3094, 51
2025/06/21 03:55:17.626, 0, 0, 3094, 51
2025/06/21 03:55:18.626, 0, 0, 3094, 51
2025/06/21 03:55:19.626, 0, 0, 3094, 51
2025/06/21 03:55:20.626, 0, 0, 3094, 50
2025/06/21 03:55:21.626, 0, 0, 3094, 50
2025/06/21 03:55:22.626, 25, 8, 3094, 51
2025/06/21 03:55:23.626, 30, 12, 3094, 52
2025/06/21 03:55:24.626, 28, 10, 3094, 51
2025/06/21 03:55:25.627, 0, 0, 3094, 50
2025/06/21 03:55:26.627, 0, 0, 3094, 50
2025/06/21 03:55:27.627, 0, 0, 3094, 51
2025/06/21 03:55:28.627, 0, 0, 3094, 49
2025/06/21 03:55:29.627, 26, 10, 3094, 49
2025/06/21 03:55:30.627, 0, 0, 3094, 49
2025/06/21 03:55:31.627, 0, 0, 3094, 49
2025/06/21 03:55:32.627, 95, 4, 3094, 52
2025/06/21 03:55:33.628, 94, 4, 3094, 52
2025/06/21 03:55:34.628, 94, 4, 3094, 52
2025/06/21 03:55:35.628, 95, 3, 3094, 52
2025/06/21 03:55:36.628, 95, 3, 3094, 52
2025/06/21 03:55:37.628, 95, 3, 3094, 52
2025/06/21 03:55:38.628, 92, 3, 3104, 52
2025/06/21 03:55:39.628, 84, 49, 3104, 58
2025/06/21 03:55:40.629, 84, 50, 3104, 59
2025/06/21 03:55:41.629, 85, 50, 3104, 59
2025/06/21 03:55:42.629, 85, 50, 3104, 59
2025/06/21 03:55:43.629, 84, 51, 3104, 60
2025/06/21 03:55:44.629, 86, 51, 3104, 60
2025/06/21 03:55:45.629, 85, 50, 3104, 60
2025/06/21 03:55:46.629, 85, 50, 3104, 61
2025/06/21 03:55:47.629, 85, 50, 3104, 61
2025/06/21 03:55:48.630, 83, 49, 3104, 61
2025/06/21 03:55:49.630, 86, 52, 3104, 61
2025/06/21 03:55:50.630, 86, 51, 3104, 61
2025/06/21 03:55:51.630, 84, 49, 3104, 61
2025/06/21 03:55:52.630, 86, 50, 3104, 62
2025/06/21 03:55:53.630, 83, 49, 3104, 62
2025/06/21 03:55:54.630, 83, 49, 3104, 62
2025/06/21 03:55:55.630, 84, 49, 3104, 63
2025/06/21 03:55:56.630, 84, 49, 3104, 62
2025/06/21 03:55:57.631, 83, 49, 3104, 63
2025/06/21 03:55:58.631, 84, 49, 3104, 63
2025/06/21 03:55:59.631, 85, 49, 3104, 63
2025/06/21 03:56:00.631, 84, 49, 3104, 63
2025/06/21 03:56:01.631, 85, 50, 3104, 63
2025/06/21 03:56:02.631, 86, 50, 3104, 63
2025/06/21 03:56:03.631, 85, 50, 3104, 64
2025/06/21 03:56:04.631, 85, 51, 3104, 64
2025/06/21 03:56:05.632, 0, 0, 3104, 60
2025/06/21 03:56:06.632, 0, 0, 3104, 57
2025/06/21 03:56:07.632, 0, 0, 3104, 56
2025/06/21 03:56:08.632, 0, 0, 3104, 55
2025/06/21 03:56:09.632, 0, 0, 3104, 55
