timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2025/06/21 03:56:10.444, 0, 0, 4, 55
2025/06/21 03:56:11.445, 0, 0, 4, 54
2025/06/21 03:56:12.445, 0, 0, 4, 54
2025/06/21 03:56:13.445, 0, 0, 4, 52
2025/06/21 03:56:14.445, 0, 0, 4, 52
2025/06/21 03:56:15.446, 0, 0, 270, 51
2025/06/21 03:56:16.446, 12, 1, 600, 53
2025/06/21 03:56:17.446, 8, 1, 994, 53
2025/06/21 03:56:18.446, 89, 17, 994, 59
2025/06/21 03:56:19.446, 0, 0, 1506, 55
2025/06/21 03:56:20.446, 100, 40, 14426, 60
2025/06/21 03:56:21.446, 96, 30, 7898, 60
2025/06/21 03:56:22.446, 73, 62, 7898, 59
2025/06/21 03:56:23.447, 99, 94, 7514, 61
2025/06/21 03:56:24.447, 0, 0, 1242, 55
2025/06/21 03:56:25.447, 0, 0, 1316, 54
2025/06/21 03:56:26.447, 0, 0, 1634, 54
2025/06/21 03:56:27.447, 0, 0, 1998, 54
2025/06/21 03:56:28.447, 29, 11, 1998, 53
2025/06/21 03:56:29.447, 1, 0, 2366, 53
2025/06/21 03:56:30.448, 0, 0, 2366, 53
2025/06/21 03:56:31.448, 0, 0, 2366, 53
2025/06/21 03:56:32.448, 31, 12, 2366, 53
2025/06/21 03:56:33.448, 26, 11, 2366, 52
2025/06/21 03:56:34.448, 0, 0, 2742, 54
2025/06/21 03:56:35.448, 0, 0, 2742, 52
2025/06/21 03:56:36.448, 0, 0, 2742, 52
2025/06/21 03:56:37.449, 24, 9, 2742, 52
2025/06/21 03:56:38.449, 0, 0, 2742, 52
2025/06/21 03:56:39.449, 0, 0, 2742, 52
2025/06/21 03:56:40.449, 5, 2, 2742, 52
2025/06/21 03:56:41.449, 29, 11, 2742, 53
2025/06/21 03:56:42.449, 0, 0, 2742, 51
2025/06/21 03:56:43.450, 16, 7, 2742, 53
2025/06/21 03:56:44.450, 0, 0, 2742, 51
2025/06/21 03:56:45.450, 29, 11, 2742, 52
2025/06/21 03:56:46.450, 36, 14, 2742, 52
2025/06/21 03:56:47.450, 30, 12, 2742, 53
2025/06/21 03:56:48.450, 30, 11, 2742, 52
2025/06/21 03:56:49.450, 0, 0, 2742, 51
2025/06/21 03:56:50.451, 0, 0, 2742, 51
2025/06/21 03:56:51.451, 0, 0, 2742, 51
2025/06/21 03:56:52.451, 0, 0, 2742, 50
2025/06/21 03:56:53.451, 0, 0, 2742, 50
2025/06/21 03:56:54.451, 26, 9, 2742, 51
2025/06/21 03:56:55.451, 0, 0, 2742, 50
2025/06/21 03:56:56.452, 14, 6, 2742, 52
2025/06/21 03:56:57.452, 26, 11, 2742, 51
2025/06/21 03:56:58.452, 0, 0, 2742, 50
2025/06/21 03:56:59.452, 0, 0, 2742, 50
2025/06/21 03:57:00.452, 94, 4, 2742, 52
2025/06/21 03:57:01.452, 94, 4, 2742, 52
2025/06/21 03:57:02.453, 94, 4, 2742, 52
2025/06/21 03:57:03.453, 94, 4, 2742, 52
2025/06/21 03:57:04.453, 94, 4, 2742, 52
2025/06/21 03:57:05.453, 94, 4, 2742, 52
2025/06/21 03:57:06.453, 94, 4, 2742, 53
2025/06/21 03:57:07.453, 85, 51, 2752, 58
2025/06/21 03:57:08.454, 86, 50, 2752, 59
2025/06/21 03:57:09.454, 83, 50, 2752, 59
2025/06/21 03:57:10.454, 86, 51, 2752, 60
2025/06/21 03:57:11.454, 83, 49, 2752, 60
2025/06/21 03:57:12.455, 86, 52, 2752, 60
2025/06/21 03:57:13.456, 85, 50, 2752, 60
2025/06/21 03:57:14.456, 83, 49, 2752, 61
2025/06/21 03:57:15.456, 85, 51, 2752, 61
2025/06/21 03:57:16.456, 84, 50, 2752, 62
2025/06/21 03:57:17.456, 86, 50, 2752, 62
2025/06/21 03:57:18.457, 83, 49, 2752, 62
2025/06/21 03:57:19.457, 84, 51, 2752, 62
2025/06/21 03:57:20.457, 85, 51, 2752, 62
2025/06/21 03:57:21.457, 84, 50, 2752, 62
2025/06/21 03:57:22.457, 85, 50, 2752, 62
2025/06/21 03:57:23.457, 85, 49, 2752, 63
2025/06/21 03:57:24.458, 84, 49, 2752, 63
2025/06/21 03:57:25.458, 84, 49, 2752, 63
2025/06/21 03:57:26.458, 83, 49, 2752, 63
2025/06/21 03:57:27.458, 83, 49, 2752, 63
2025/06/21 03:57:28.458, 84, 51, 2752, 64
2025/06/21 03:57:29.458, 85, 51, 2752, 64
2025/06/21 03:57:30.459, 85, 51, 2752, 64
2025/06/21 03:57:31.459, 86, 51, 2752, 64
2025/06/21 03:57:32.459, 84, 50, 2752, 64
2025/06/21 03:57:33.459, 84, 50, 2752, 64
2025/06/21 03:57:34.459, 0, 0, 2752, 58
2025/06/21 03:57:35.459, 0, 0, 2752, 58
2025/06/21 03:57:36.460, 0, 0, 2752, 57
2025/06/21 03:57:37.460, 0, 0, 2752, 56
2025/06/21 03:57:38.460, 0, 0, 2472, 55
