timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2025/06/21 03:57:38.713, 0, 0, 4, 55
2025/06/21 03:57:39.714, 0, 0, 4, 55
2025/06/21 03:57:40.716, 0, 0, 4, 53
2025/06/21 03:57:41.716, 0, 0, 4, 52
2025/06/21 03:57:42.716, 0, 0, 4, 51
2025/06/21 03:57:43.716, 0, 0, 270, 53
2025/06/21 03:57:44.716, 0, 0, 910, 53
2025/06/21 03:57:45.716, 7, 0, 1848, 53
2025/06/21 03:57:46.717, 1, 0, 2242, 58
2025/06/21 03:57:47.717, 88, 17, 2242, 60
2025/06/21 03:57:48.717, 0, 0, 2892, 54
2025/06/21 03:57:49.717, 100, 39, 18394, 61
2025/06/21 03:57:50.717, 100, 35, 18394, 61
2025/06/21 03:57:51.717, 100, 33, 18394, 61
2025/06/21 03:57:52.717, 100, 33, 18394, 61
2025/06/21 03:57:53.717, 93, 12, 17082, 62
2025/06/21 03:57:54.717, 100, 72, 18042, 63
2025/06/21 03:57:55.718, 100, 77, 18298, 63
2025/06/21 03:57:56.718, 100, 86, 18298, 62
2025/06/21 03:57:57.718, 100, 95, 18300, 62
2025/06/21 03:57:58.718, 92, 6, 2716, 56
2025/06/21 03:57:59.718, 0, 0, 2396, 56
2025/06/21 03:58:00.718, 0, 0, 3010, 56
2025/06/21 03:58:01.718, 14, 7, 3374, 56
2025/06/21 03:58:02.718, 0, 0, 3374, 55
2025/06/21 03:58:03.718, 12, 4, 3742, 55
2025/06/21 03:58:04.719, 0, 0, 3742, 55
2025/06/21 03:58:05.719, 0, 0, 3742, 54
2025/06/21 03:58:06.719, 0, 0, 3742, 54
2025/06/21 03:58:07.719, 0, 0, 3742, 54
2025/06/21 03:58:08.719, 0, 0, 4118, 53
2025/06/21 03:58:09.719, 0, 0, 4118, 54
2025/06/21 03:58:10.719, 0, 0, 4118, 55
2025/06/21 03:58:11.719, 0, 0, 4118, 53
2025/06/21 03:58:12.719, 26, 11, 4118, 54
2025/06/21 03:58:13.720, 27, 10, 4118, 53
2025/06/21 03:58:14.720, 0, 0, 4118, 53
2025/06/21 03:58:15.720, 29, 12, 4118, 53
2025/06/21 03:58:16.720, 0, 0, 4118, 53
2025/06/21 03:58:17.720, 0, 0, 4118, 52
2025/06/21 03:58:18.720, 0, 0, 4118, 53
2025/06/21 03:58:19.720, 29, 12, 4118, 52
2025/06/21 03:58:20.720, 14, 6, 4118, 52
2025/06/21 03:58:21.721, 0, 0, 4118, 52
2025/06/21 03:58:22.721, 0, 0, 4118, 52
2025/06/21 03:58:23.721, 0, 0, 4118, 53
2025/06/21 03:58:24.721, 31, 13, 4118, 52
2025/06/21 03:58:25.721, 0, 0, 4118, 52
2025/06/21 03:58:26.721, 0, 0, 4118, 52
2025/06/21 03:58:27.721, 0, 0, 4118, 51
2025/06/21 03:58:28.721, 0, 0, 4118, 51
2025/06/21 03:58:29.722, 30, 11, 4118, 51
2025/06/21 03:58:30.722, 0, 0, 4118, 51
2025/06/21 03:58:31.722, 31, 13, 4118, 51
2025/06/21 03:58:32.722, 26, 11, 4118, 51
2025/06/21 03:58:33.722, 14, 7, 4118, 51
2025/06/21 03:58:34.722, 0, 0, 4118, 53
2025/06/21 03:58:35.722, 94, 3, 4118, 53
2025/06/21 03:58:36.722, 95, 3, 4118, 53
2025/06/21 03:58:37.723, 95, 3, 4118, 53
2025/06/21 03:58:38.723, 95, 3, 4118, 53
2025/06/21 03:58:39.723, 95, 3, 4118, 53
2025/06/21 03:58:40.723, 94, 4, 4118, 53
2025/06/21 03:58:41.723, 29, 1, 4128, 58
2025/06/21 03:58:42.723, 85, 51, 4128, 60
2025/06/21 03:58:43.723, 85, 50, 4128, 60
2025/06/21 03:58:44.723, 83, 49, 4128, 60
2025/06/21 03:58:45.724, 84, 50, 4128, 61
2025/06/21 03:58:46.724, 84, 51, 4128, 61
2025/06/21 03:58:47.724, 85, 50, 4128, 61
2025/06/21 03:58:48.724, 85, 50, 4128, 61
2025/06/21 03:58:49.724, 83, 49, 4128, 62
2025/06/21 03:58:50.724, 84, 49, 4128, 62
2025/06/21 03:58:51.724, 83, 49, 4128, 62
2025/06/21 03:58:52.725, 84, 50, 4128, 62
2025/06/21 03:58:53.725, 85, 51, 4128, 62
2025/06/21 03:58:54.725, 85, 51, 4128, 63
2025/06/21 03:58:55.725, 86, 51, 4128, 63
2025/06/21 03:58:56.725, 86, 51, 4128, 63
2025/06/21 03:58:57.725, 84, 50, 4128, 63
2025/06/21 03:58:58.725, 85, 51, 4128, 63
2025/06/21 03:58:59.725, 85, 51, 4128, 64
2025/06/21 03:59:00.726, 84, 50, 4128, 64
2025/06/21 03:59:01.726, 85, 51, 4128, 64
2025/06/21 03:59:02.726, 85, 51, 4128, 64
2025/06/21 03:59:03.726, 84, 50, 4128, 64
2025/06/21 03:59:04.726, 85, 51, 4128, 65
2025/06/21 03:59:05.726, 85, 51, 4128, 65
2025/06/21 03:59:06.726, 84, 50, 4128, 65
2025/06/21 03:59:07.726, 84, 50, 4128, 65
2025/06/21 03:59:08.726, 0, 0, 4128, 59
2025/06/21 03:59:09.727, 0, 0, 4128, 58
2025/06/21 03:59:10.727, 0, 0, 4128, 58
2025/06/21 03:59:11.727, 0, 0, 4128, 56
2025/06/21 03:59:12.727, 0, 0, 2480, 56
