timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2025/06/21 03:59:13.407, 0, 0, 4, 56
2025/06/21 03:59:14.408, 0, 0, 4, 55
2025/06/21 03:59:15.412, 0, 0, 4, 55
2025/06/21 03:59:16.412, 0, 0, 4, 53
2025/06/21 03:59:17.412, 0, 0, 4, 52
2025/06/21 03:59:18.412, 3, 0, 270, 53
2025/06/21 03:59:19.412, 0, 0, 270, 54
2025/06/21 03:59:20.413, 0, 0, 1112, 54
2025/06/21 03:59:21.413, 0, 0, 1506, 53
2025/06/21 03:59:22.413, 89, 17, 1506, 60
2025/06/21 03:59:23.413, 0, 0, 1506, 55
2025/06/21 03:59:24.413, 100, 59, 19354, 60
2025/06/21 03:59:25.413, 100, 32, 19354, 61
2025/06/21 03:59:26.413, 100, 59, 19354, 61
2025/06/21 03:59:27.414, 100, 33, 19034, 62
2025/06/21 03:59:28.414, 100, 76, 17434, 62
2025/06/21 03:59:29.414, 100, 95, 17434, 62
2025/06/21 03:59:30.414, 100, 94, 17434, 63
2025/06/21 03:59:31.414, 100, 92, 17434, 63
2025/06/21 03:59:32.414, 99, 68, 5434, 61
2025/06/21 03:59:33.414, 0, 0, 1530, 56
2025/06/21 03:59:34.414, 0, 0, 1828, 56
2025/06/21 03:59:35.415, 26, 11, 2510, 56
2025/06/21 03:59:36.415, 0, 0, 2510, 55
2025/06/21 03:59:37.415, 24, 10, 2878, 57
2025/06/21 03:59:38.415, 29, 11, 2878, 56
2025/06/21 03:59:39.415, 0, 0, 2878, 54
2025/06/21 03:59:40.415, 0, 0, 2878, 54
2025/06/21 03:59:41.415, 0, 0, 2878, 54
2025/06/21 03:59:42.416, 19, 7, 2878, 54
2025/06/21 03:59:43.416, 17, 7, 3254, 55
2025/06/21 03:59:44.416, 0, 0, 3254, 53
2025/06/21 03:59:45.416, 0, 0, 3254, 53
2025/06/21 03:59:46.416, 35, 13, 3254, 54
2025/06/21 03:59:47.416, 0, 0, 3254, 53
2025/06/21 03:59:48.417, 0, 0, 3254, 53
2025/06/21 03:59:49.417, 0, 0, 3254, 53
2025/06/21 03:59:50.417, 28, 11, 3254, 54
2025/06/21 03:59:51.417, 0, 0, 3254, 52
2025/06/21 03:59:52.417, 14, 7, 3254, 54
2025/06/21 03:59:53.417, 29, 11, 3254, 53
2025/06/21 03:59:54.418, 19, 7, 3254, 53
2025/06/21 03:59:55.418, 0, 0, 3254, 52
2025/06/21 03:59:56.418, 2, 2, 3254, 52
2025/06/21 03:59:57.418, 6, 4, 3254, 54
2025/06/21 03:59:58.418, 28, 10, 3254, 52
2025/06/21 03:59:59.418, 0, 0, 3254, 52
2025/06/21 04:00:00.419, 0, 0, 3254, 52
2025/06/21 04:00:01.419, 0, 0, 3254, 51
2025/06/21 04:00:02.419, 9, 2, 3254, 51
2025/06/21 04:00:03.419, 0, 0, 3254, 52
2025/06/21 04:00:04.419, 0, 0, 3254, 51
2025/06/21 04:00:05.419, 0, 0, 3254, 53
2025/06/21 04:00:06.420, 0, 0, 3254, 52
2025/06/21 04:00:07.420, 33, 12, 3254, 52
2025/06/21 04:00:08.420, 35, 1, 3254, 51
2025/06/21 04:00:09.420, 94, 4, 3254, 53
2025/06/21 04:00:10.420, 95, 3, 3254, 53
2025/06/21 04:00:11.420, 94, 4, 3254, 53
2025/06/21 04:00:12.421, 94, 3, 3254, 53
2025/06/21 04:00:13.421, 95, 3, 3254, 53
2025/06/21 04:00:14.421, 94, 4, 3254, 53
2025/06/21 04:00:15.421, 10, 0, 3264, 52
2025/06/21 04:00:16.421, 86, 52, 3264, 59
2025/06/21 04:00:17.421, 85, 50, 3264, 60
2025/06/21 04:00:18.422, 85, 50, 3264, 60
2025/06/21 04:00:19.422, 83, 49, 3264, 61
2025/06/21 04:00:20.422, 85, 51, 3264, 61
2025/06/21 04:00:21.422, 86, 52, 3264, 61
2025/06/21 04:00:22.422, 84, 50, 3264, 61
2025/06/21 04:00:23.423, 86, 50, 3264, 62
2025/06/21 04:00:24.423, 84, 49, 3264, 62
2025/06/21 04:00:25.423, 83, 49, 3264, 62
2025/06/21 04:00:26.423, 84, 50, 3264, 62
2025/06/21 04:00:27.423, 83, 50, 3264, 62
2025/06/21 04:00:28.423, 85, 52, 3264, 63
2025/06/21 04:00:29.424, 85, 51, 3264, 63
2025/06/21 04:00:30.424, 85, 51, 3264, 63
2025/06/21 04:00:31.424, 85, 51, 3264, 63
2025/06/21 04:00:32.424, 85, 51, 3264, 63
2025/06/21 04:00:33.424, 84, 51, 3264, 64
2025/06/21 04:00:34.424, 83, 50, 3264, 64
2025/06/21 04:00:35.425, 84, 50, 3264, 64
2025/06/21 04:00:36.425, 83, 49, 3264, 64
2025/06/21 04:00:37.425, 83, 49, 3264, 64
2025/06/21 04:00:38.425, 85, 49, 3264, 65
2025/06/21 04:00:39.425, 85, 50, 3264, 65
2025/06/21 04:00:40.425, 85, 50, 3264, 65
2025/06/21 04:00:41.426, 85, 51, 3264, 65
2025/06/21 04:00:42.426, 0, 0, 3264, 59
2025/06/21 04:00:43.426, 0, 0, 3264, 59
2025/06/21 04:00:44.426, 0, 0, 3264, 57
2025/06/21 04:00:45.426, 0, 0, 3264, 57
2025/06/21 04:00:46.426, 0, 0, 3264, 56
