timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2025/06/21 04:00:47.214, 0, 0, 4, 56
2025/06/21 04:00:48.215, 0, 0, 4, 55
2025/06/21 04:00:49.215, 0, 0, 4, 56
2025/06/21 04:00:50.215, 0, 0, 4, 54
2025/06/21 04:00:51.215, 0, 0, 4, 53
2025/06/21 04:00:52.216, 2, 0, 270, 53
2025/06/21 04:00:53.216, 0, 0, 270, 54
2025/06/21 04:00:54.216, 0, 0, 270, 54
2025/06/21 04:00:55.216, 0, 0, 270, 53
2025/06/21 04:00:56.216, 0, 0, 270, 53
2025/06/21 04:00:57.216, 0, 0, 270, 53
2025/06/21 04:00:58.217, 0, 0, 1780, 53
2025/06/21 04:00:59.217, 89, 15, 2242, 56
2025/06/21 04:01:00.217, 89, 18, 2242, 59
2025/06/21 04:01:01.217, 0, 0, 2242, 54
2025/06/21 04:01:02.217, 97, 6, 1896, 54
2025/06/21 04:01:03.218, 89, 18, 2262, 59
2025/06/21 04:01:04.218, 89, 17, 2262, 60
2025/06/21 04:01:05.218, 72, 42, 14328, 59
2025/06/21 04:01:06.218, 0, 0, 1896, 54
2025/06/21 04:01:07.218, 90, 18, 2262, 60
2025/06/21 04:01:08.218, 0, 0, 2264, 55
2025/06/21 04:01:09.218, 100, 44, 14136, 61
2025/06/21 04:01:10.219, 100, 46, 14136, 61
2025/06/21 04:01:11.219, 100, 42, 14136, 61
2025/06/21 04:01:12.219, 95, 35, 15864, 59
2025/06/21 04:01:13.219, 100, 75, 15864, 62
2025/06/21 04:01:14.219, 100, 86, 15864, 62
2025/06/21 04:01:15.219, 100, 83, 15864, 62
2025/06/21 04:01:16.219, 0, 0, 12920, 56
2025/06/21 04:01:17.219, 100, 44, 12920, 62
2025/06/21 04:01:18.220, 100, 45, 12920, 62
2025/06/21 04:01:19.220, 100, 43, 11096, 62
2025/06/21 04:01:20.220, 100, 75, 14232, 63
2025/06/21 04:01:21.220, 99, 86, 15320, 63
2025/06/21 04:01:22.220, 100, 83, 15544, 63
2025/06/21 04:01:23.220, 92, 6, 3672, 58
2025/06/21 04:01:24.220, 0, 0, 2264, 57
2025/06/21 04:01:25.220, 8, 2, 2882, 57
2025/06/21 04:01:26.220, 9, 6, 3246, 58
2025/06/21 04:01:27.221, 11, 6, 3246, 57
2025/06/21 04:01:28.221, 23, 8, 3614, 56
2025/06/21 04:01:29.221, 29, 11, 3614, 56
2025/06/21 04:01:30.221, 36, 13, 3614, 56
2025/06/21 04:01:31.221, 0, 0, 3614, 55
2025/06/21 04:01:32.221, 8, 3, 3614, 55
2025/06/21 04:01:33.221, 0, 0, 3990, 54
2025/06/21 04:01:34.221, 0, 0, 3990, 54
2025/06/21 04:01:35.221, 0, 0, 3990, 54
2025/06/21 04:01:36.222, 24, 9, 3990, 54
2025/06/21 04:01:37.222, 0, 0, 3990, 54
2025/06/21 04:01:38.222, 0, 0, 3990, 53
2025/06/21 04:01:39.222, 0, 0, 3990, 53
2025/06/21 04:01:40.222, 29, 11, 3990, 54
2025/06/21 04:01:41.222, 0, 0, 3990, 53
2025/06/21 04:01:42.222, 13, 6, 3990, 55
2025/06/21 04:01:43.222, 0, 0, 3990, 53
2025/06/21 04:01:44.223, 28, 11, 3990, 55
2025/06/21 04:01:45.223, 36, 14, 3990, 54
2025/06/21 04:01:46.223, 22, 9, 3990, 55
2025/06/21 04:01:47.223, 8, 5, 3990, 53
2025/06/21 04:01:48.223, 0, 0, 3990, 52
2025/06/21 04:01:49.223, 0, 0, 3990, 52
2025/06/21 04:01:50.223, 0, 0, 3990, 52
2025/06/21 04:01:51.223, 0, 0, 3990, 52
2025/06/21 04:01:52.223, 31, 12, 3990, 53
2025/06/21 04:01:53.224, 29, 11, 3990, 53
2025/06/21 04:01:54.224, 0, 0, 3990, 52
2025/06/21 04:01:55.224, 0, 0, 3990, 51
2025/06/21 04:01:56.224, 0, 0, 3990, 51
2025/06/21 04:01:57.224, 0, 0, 3990, 51
2025/06/21 04:01:58.224, 0, 0, 3990, 52
2025/06/21 04:01:59.224, 94, 4, 3990, 54
2025/06/21 04:02:00.224, 94, 3, 3990, 54
2025/06/21 04:02:01.225, 94, 4, 3990, 54
2025/06/21 04:02:02.225, 94, 3, 3990, 54
2025/06/21 04:02:03.225, 94, 4, 3990, 54
2025/06/21 04:02:04.225, 95, 3, 3990, 54
2025/06/21 04:02:05.225, 94, 3, 3990, 54
2025/06/21 04:02:06.225, 85, 49, 4000, 60
2025/06/21 04:02:07.225, 84, 49, 4000, 60
2025/06/21 04:02:08.225, 84, 51, 4000, 61
2025/06/21 04:02:09.226, 86, 51, 4000, 61
2025/06/21 04:02:10.226, 86, 50, 4000, 61
2025/06/21 04:02:11.226, 84, 49, 4000, 62
2025/06/21 04:02:12.226, 85, 49, 4000, 62
2025/06/21 04:02:13.226, 84, 49, 4000, 62
2025/06/21 04:02:14.226, 83, 49, 4000, 62
2025/06/21 04:02:15.226, 84, 50, 4000, 63
2025/06/21 04:02:16.226, 82, 49, 4000, 63
2025/06/21 04:02:17.226, 83, 50, 4000, 63
2025/06/21 04:02:18.227, 85, 51, 4000, 63
2025/06/21 04:02:19.227, 84, 51, 4000, 63
2025/06/21 04:02:20.227, 85, 51, 4000, 63
2025/06/21 04:02:21.227, 85, 51, 4000, 64
2025/06/21 04:02:22.227, 84, 50, 4000, 64
2025/06/21 04:02:23.227, 85, 51, 4000, 64
2025/06/21 04:02:24.227, 85, 51, 4000, 64
2025/06/21 04:02:25.227, 84, 51, 4000, 64
2025/06/21 04:02:26.228, 84, 50, 4000, 64
2025/06/21 04:02:27.228, 85, 51, 4000, 65
2025/06/21 04:02:28.228, 84, 50, 4000, 65
2025/06/21 04:02:29.228, 84, 50, 4000, 65
2025/06/21 04:02:30.228, 83, 50, 4000, 65
2025/06/21 04:02:31.228, 83, 48, 4000, 65
2025/06/21 04:02:32.228, 84, 49, 4000, 66
2025/06/21 04:02:33.228, 0, 0, 4000, 59
2025/06/21 04:02:34.228, 0, 0, 4000, 58
2025/06/21 04:02:35.229, 0, 0, 4000, 57
2025/06/21 04:02:36.229, 0, 0, 4000, 57
2025/06/21 04:02:37.229, 0, 0, 2472, 56
