timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2025/06/21 04:02:37.657, 0, 0, 4, 56
2025/06/21 04:02:38.657, 0, 0, 4, 56
2025/06/21 04:02:39.658, 0, 0, 4, 56
2025/06/21 04:02:40.658, 0, 0, 4, 54
2025/06/21 04:02:41.658, 0, 0, 4, 53
2025/06/21 04:02:42.658, 0, 0, 270, 52
2025/06/21 04:02:43.658, 0, 0, 270, 54
2025/06/21 04:02:44.658, 0, 0, 270, 54
2025/06/21 04:02:45.659, 0, 0, 270, 54
2025/06/21 04:02:46.659, 0, 0, 270, 54
2025/06/21 04:02:47.659, 0, 0, 270, 54
2025/06/21 04:02:48.659, 0, 0, 1848, 53
2025/06/21 04:02:49.659, 0, 0, 2242, 53
2025/06/21 04:02:50.659, 90, 17, 2242, 59
2025/06/21 04:02:51.660, 36, 5, 2242, 57
2025/06/21 04:02:52.660, 61, 15, 1896, 56
2025/06/21 04:02:53.660, 0, 0, 2262, 54
2025/06/21 04:02:54.660, 90, 17, 2262, 60
2025/06/21 04:02:55.660, 0, 0, 11960, 55
2025/06/21 04:02:56.660, 0, 0, 2262, 54
2025/06/21 04:02:57.661, 89, 17, 2262, 59
2025/06/21 04:02:58.661, 90, 17, 2264, 60
2025/06/21 04:02:59.661, 100, 46, 14104, 60
2025/06/21 04:03:00.661, 100, 43, 14104, 61
2025/06/21 04:03:01.661, 100, 46, 14104, 61
2025/06/21 04:03:02.661, 100, 44, 15864, 61
2025/06/21 04:03:03.661, 100, 84, 15864, 62
2025/06/21 04:03:04.662, 100, 83, 15864, 62
2025/06/21 04:03:05.662, 100, 92, 15864, 62
2025/06/21 04:03:06.662, 98, 49, 12920, 61
2025/06/21 04:03:07.662, 100, 46, 12920, 62
2025/06/21 04:03:08.662, 100, 45, 12920, 62
2025/06/21 04:03:09.662, 100, 43, 11160, 62
2025/06/21 04:03:10.662, 100, 65, 14264, 62
2025/06/21 04:03:11.662, 100, 77, 15352, 63
2025/06/21 04:03:12.662, 100, 90, 15704, 63
2025/06/21 04:03:13.663, 100, 77, 3352, 63
2025/06/21 04:03:14.663, 0, 0, 2456, 57
2025/06/21 04:03:15.663, 0, 0, 2456, 57
2025/06/21 04:03:16.663, 0, 0, 3084, 56
2025/06/21 04:03:17.663, 0, 0, 3530, 55
2025/06/21 04:03:18.663, 53, 21, 4000, 60
2025/06/21 04:03:19.664, 0, 0, 4546, 55
2025/06/21 04:03:20.664, 0, 0, 4546, 56
2025/06/21 04:03:21.664, 0, 0, 5100, 57
2025/06/21 04:03:22.664, 48, 17, 5100, 58
2025/06/21 04:03:23.664, 0, 0, 5100, 56
2025/06/21 04:03:24.664, 55, 20, 5100, 57
2025/06/21 04:03:25.664, 53, 20, 5100, 57
2025/06/21 04:03:26.665, 0, 0, 5100, 55
2025/06/21 04:03:27.665, 0, 0, 5664, 57
2025/06/21 04:03:28.665, 35, 16, 5664, 59
2025/06/21 04:03:29.665, 0, 0, 5664, 56
